:START_ID(Author)\u00F7corresponding_author\u00F7:END_ID(Article)
Chimere S. Anabanti\u00F7Yes\u00F71
Gook Hwa Cho\u00F7Yes\u00F72
Byeonghwan Go\u00F7No\u00F72
Enrique Cabrera\u00F7No\u00F71468
Franklin Johnson\u00F7No\u00F71468
José Miguel Rubio\u00F7No\u00F71468
Fernando Paredes\u00F7No\u00F71468
Daniel Cabrera-Paniagua\u00F7Yes\u00F71469
Claudio Cubillos\u00F7No\u00F71469
Alonso Cubillos\u00F7No\u00F71469
Enrique Urra\u00F7No\u00F71469
Rafael Mellado\u00F7No\u00F71469
Sergio Cabrero\u00F7Yes\u00F71470
Xabiel G. Pañeda\u00F7No\u00F71470
David Melendi\u00F7No\u00F71470
Roberto García 0002\u00F7No\u00F71470
Thomas Plagemann\u00F7No\u00F71470
Ali Caglayan\u00F7Yes\u00F71471
Ahmet Burak Can\u00F7No\u00F71471
Yanyan Cai\u00F7Yes\u00F71472
Xu Chen 0009\u00F7No\u00F71472
Jin Yu 0005\u00F7No\u00F71472
Jianfeng Zhou\u00F7No\u00F71472
Dunbo Cai\u00F7Yes\u00F71473
Yuhui Gao\u00F7No\u00F71473
Minghao Yin\u00F7No\u00F71473
Hao Cai\u00F7Yes\u00F71474
Zhaozheng Hu\u00F7No\u00F71474
Zhijun Chen\u00F7No\u00F71474
Dunyao Zhu\u00F7No\u00F71474
Jianqi Cai\u00F7Yes\u00F71475
Wentao Hao\u00F7No\u00F71475
Ya Guo\u00F7No\u00F71475
Peng Du\u00F7No\u00F71475
Rongrong Wen\u00F7No\u00F71475
Xiaoxiang Yang\u00F7No\u00F71475
Jiaren Cai\u00F7Yes\u00F71476
Xin Huang 0005\u00F7No\u00F71476
Jie Zhang 0030\u00F7No\u00F71476
Jiawei Zhao\u00F7No\u00F71476
Yaxi Lei\u00F7No\u00F71476
Dawei Liu 0001\u00F7No\u00F71476
Xiaofeng Ma\u00F7No\u00F71476
Li Cai\u00F7Yes\u00F71477
Fang Jiang\u00F7No\u00F71477
Wei Zhou\u00F7No\u00F71477
Keqin Li 0001\u00F7No\u00F71477
Linqin Cai\u00F7Yes\u00F71478
Xiaolin Liu\u00F7No\u00F71478
Heen Ding\u00F7No\u00F71478
Fuli Chen\u00F7No\u00F71478
Qing Cai\u00F7Yes\u00F71479
Huiying Liu\u00F7No\u00F71479
Yiming Qian\u00F7No\u00F71479
Jing Li\u00F7No\u00F71479
Xiaojun Duan\u00F7No\u00F71479
Yee-Hong Yang\u00F7No\u00F71479
Yuan-Ming Cai\u00F7Yes\u00F71480
Ke Li\u00F7No\u00F71480
Yingzeng Yin\u00F7No\u00F71480
Steven Gao\u00F7No\u00F71480
Wei Hu\u00F7No\u00F71480
Luyu Zhao\u00F7No\u00F71480
Chao Cai\u00F7Yes\u00F71481
Xiaoqiang Ma\u00F7No\u00F71481
Menglan Hu\u00F7No\u00F71481
Yang Yang\u00F7No\u00F71481
Zhetao Li\u00F7No\u00F71481
Jiangchuan Liu\u00F7No\u00F71481
Chengtao Cai\u00F7Yes\u00F71482
Haiyang Meng\u00F7No\u00F71482
Qidan Zhu\u00F7No\u00F71482
Wei Cai\u00F7Yes\u00F71483
Zehua Wang\u00F7No\u00F71483
Jason B. Ernst\u00F7No\u00F71483
Zhen Hong\u00F7No\u00F71483
Chen Feng\u00F7No\u00F71483
Victor C. M. Leung\u00F7No\u00F71483
Changsong Cai\u00F7Yes\u00F71484
Junhua Wang\u00F7No\u00F71484
Zhijian Fang\u00F7No\u00F71484
Pengcheng Zhang\u00F7No\u00F71484
Meilin Hu\u00F7No\u00F71484
Junkun Zhang\u00F7No\u00F71484
Liang Li\u00F7No\u00F71484
Zhongzheng Lin\u00F7No\u00F71484
Changxin Cai\u00F7Yes\u00F71485
Fangqing Wen\u00F7No\u00F71485
Dongmei Huang\u00F7No\u00F71485
Jian-Ping Cai\u00F7Yes\u00F71486
Jun Wan 0003\u00F7No\u00F71486
Haoyi Que\u00F7No\u00F71486
Qingping Zhou\u00F7No\u00F71486
Lujuan Shen\u00F7No\u00F71486
Ming Cai\u00F7Yes\u00F71487
Wei Wan\u00F7No\u00F71487
Haibo Wang 0003\u00F7No\u00F71487
Di Cai\u00F7Yes\u00F71488
Yongguang Yu\u00F7No\u00F71488
Jiamin Wei\u00F7No\u00F71488
Yikun Cai\u00F7Yes\u00F71489
Yu Zhao\u00F7No\u00F71489
Xiaobing Ma 0001\u00F7No\u00F71489
Zhenyu Yang\u00F7No\u00F71489
Ying Ding\u00F7No\u00F71489
Xiaolun Cai\u00F7Yes\u00F71490
Zhengchun Zhou\u00F7No\u00F71490
Yang Yang\u00F7No\u00F71490
Yong Wang\u00F7No\u00F71490
Zhihao Cai\u00F7Yes\u00F71491
Hui Zhou\u00F7No\u00F71491
Jiang Zhao\u00F7No\u00F71491
Kun Wu\u00F7No\u00F71491
Yingxun Wang\u00F7No\u00F71491
Serdar Çakir\u00F7Yes\u00F71492
Deniz Cansen Kahraman\u00F7No\u00F71492
Rengül Çetin-Atalay\u00F7No\u00F71492
A. Enis Çetin\u00F7No\u00F71492
Christian Callegari\u00F7Yes\u00F71493
Rosario Giuseppe Garroppo\u00F7No\u00F71493
Stefano Giordano\u00F7No\u00F71493
Calogero Carlo Labrozzo\u00F7No\u00F71493
Gregorio Procissi\u00F7No\u00F71493
Giovanni Minissale\u00F7No\u00F71493
Simone Topazzi\u00F7No\u00F71493
Gabriela Calvario\u00F7Yes\u00F71494
Oscar Dalmau Cedeño\u00F7No\u00F71494
Teresa E. Alarcón\u00F7No\u00F71494
Basilio Sierra\u00F7No\u00F71494
Carmen Hernández 0001\u00F7No\u00F71494
Valentín Calzada-Ledesma\u00F7Yes\u00F71495
Héctor José Puga Soberanes\u00F7No\u00F71495
Manuel Ornelas-Rodriguez\u00F7No\u00F71495
Alfonso Rojas Domínguez\u00F7No\u00F71495
Juan Martín Carpio Valadez\u00F7No\u00F71495
Andrés Espinal\u00F7No\u00F71495
Jorge Alberto Soria-Alcaraz\u00F7No\u00F71495
Marco Aurelio Sotelo-Figueroa\u00F7No\u00F71495
Claudio Alfonso Bohorquez Camargo\u00F7Yes\u00F71496
Gustavo Fraidenraich\u00F7No\u00F71496
Luciano Leonel Mendes\u00F7No\u00F71496
Luis M. Camarinha-Matos\u00F7Yes\u00F71497
Hamideh Afsarmanesh\u00F7No\u00F71497
María-Emilia Cambronero\u00F7Yes\u00F71498
Hermenegilda Macià\u00F7No\u00F71498
Valentín Valero Ruiz\u00F7No\u00F71498
Luis Orozco-Barbosa\u00F7No\u00F71498
Rosanna Campagna\u00F7Yes\u00F71499
Salvatore Cuomo\u00F7No\u00F71499
Francesco Giannino\u00F7No\u00F71499
Gerardo Severino\u00F7No\u00F71499
Gerardo Toraldo\u00F7No\u00F71499
Vitor F. Campana\u00F7Yes\u00F71500
Klaus F. Côco\u00F7No\u00F71500
Evandro Ottoni Teatini Salles\u00F7No\u00F71500
Patrick Marques Ciarelli\u00F7No\u00F71500
Marta Eunice Calderón Campos\u00F7Yes\u00F71501
Gustavo López\u00F7No\u00F71501
Gabriela Marín Raventós\u00F7No\u00F71501
Yanjun Cao\u00F7Yes\u00F71502
Meng Li 0003\u00F7No\u00F71502
Ivan Svogor\u00F7No\u00F71502
Shaoming Wei\u00F7No\u00F71502
Giovanni Beltrame\u00F7No\u00F71502
Yufan Cao\u00F7Yes\u00F71503
Yang Cai\u00F7No\u00F71503
Lei Wang\u00F7No\u00F71503
Zuping Qian\u00F7No\u00F71503
Lei Zhu\u00F7No\u00F71503
Kuo Cao\u00F7Yes\u00F71504
Yueming Cai\u00F7No\u00F71504
Yongpeng Wu\u00F7No\u00F71504
Weiwei Yang\u00F7No\u00F71504
Xinrong Guan\u00F7No\u00F71504
Haotong Cao\u00F7Yes\u00F71505
Yongan Guo\u00F7No\u00F71505
Yue Hu\u00F7No\u00F71505
Shengchen Wu\u00F7No\u00F71505
Hongbo Zhu\u00F7No\u00F71505
Longxiang Yang\u00F7No\u00F71505
Haotong Cao\u00F7Yes\u00F71506
Yongan Guo\u00F7No\u00F71506
Zhicheng Qu\u00F7No\u00F71506
Shengchen Wu\u00F7No\u00F71506
Hongbo Zhu\u00F7No\u00F71506
Longxiang Yang\u00F7No\u00F71506
Yuan Cao\u00F7Yes\u00F71507
Yuan Gao\u00F7No\u00F71507
Rongjun Tan\u00F7No\u00F71507
Qingbang Han\u00F7No\u00F71507
Zhuotao Liu\u00F7No\u00F71507
Wen Cao\u00F7Yes\u00F71508
Meng Hui\u00F7No\u00F71508
Lin Bai\u00F7No\u00F71508
Bobin Yao\u00F7No\u00F71508
Mingwei Cao\u00F7Yes\u00F71509
Wei Jia 0001\u00F7No\u00F71509
Zhihan Lv\u00F7No\u00F71509
Wenjun Xie\u00F7No\u00F71509
Liping Zheng\u00F7No\u00F71509
Xiaoping Liu 0003\u00F7No\u00F71509
Wenming Cao\u00F7Yes\u00F71510
Yuhong Li\u00F7No\u00F71510
Zhihai He\u00F7No\u00F71510
Guitao Cao\u00F7No\u00F71510
Zhiquan He\u00F7No\u00F71510
Wenming Cao\u00F7Yes\u00F71511
Fangfang Lyu\u00F7No\u00F71511
Zhihai He\u00F7No\u00F71511
Guitao Cao\u00F7No\u00F71511
Zhiquan He\u00F7No\u00F71511
Ning Cao 0002\u00F7Yes\u00F71512
Pingzeng Liu\u00F7No\u00F71512
Guofu Li\u00F7No\u00F71512
Ce Zhang\u00F7No\u00F71512
Shaohua Cao\u00F7No\u00F71512
Guangsheng Cao\u00F7No\u00F71512
Maoling Yan\u00F7No\u00F71512
Brij Bhooshan Gupta\u00F7No\u00F71512
Hui Cao\u00F7Yes\u00F71513
Shubo Liu\u00F7No\u00F71513
Longfei Wu\u00F7No\u00F71513
Zhitao Guan\u00F7No\u00F71513
Hao Cao\u00F7Yes\u00F71514
Wenping Ma 0002\u00F7No\u00F71514
Langcai Cao\u00F7Yes\u00F71515
Biyang Ma\u00F7No\u00F71515
Ya Zhou\u00F7No\u00F71515
Bilian Chen\u00F7No\u00F71515
Yuwen Cao\u00F7Yes\u00F71516
Tomoaki Ohtsuki\u00F7No\u00F71516
Xueqin Jiang\u00F7No\u00F71516
Yuan Cao\u00F7Yes\u00F71517
Heng Qi\u00F7No\u00F71517
Wenrui Zhou\u00F7No\u00F71517
Jien Kato\u00F7No\u00F71517
Keqiu Li\u00F7No\u00F71517
Xiulong Liu\u00F7No\u00F71517
Jie Gui\u00F7No\u00F71517
Guang-Zhong Cao\u00F7Yes\u00F71518
Songbo Ruan\u00F7No\u00F71518
Yeping Peng\u00F7No\u00F71518
Su-Dan Huang\u00F7No\u00F71518
Ngai Ming Kwok\u00F7No\u00F71518
Baoshi Cao\u00F7Yes\u00F71519
Kui Sun\u00F7No\u00F71519
Tian Li\u00F7No\u00F71519
Yikun Gu\u00F7No\u00F71519
Minghe Jin\u00F7No\u00F71519
Hong Liu 0002\u00F7No\u00F71519
Wanke Cao\u00F7Yes\u00F71520
Yingshuang Wu\u00F7No\u00F71520
Yuhua Chang\u00F7No\u00F71520
Zhiyin Liu\u00F7No\u00F71520
Cheng Lin\u00F7No\u00F71520
Qiang Song\u00F7No\u00F71520
Antoni Szumanowski\u00F7No\u00F71520
Wenquan Cao\u00F7Yes\u00F71521
Qianqian Wang\u00F7No\u00F71521
Jun Jin\u00F7No\u00F71521
Hongjun Li\u00F7No\u00F71521
Yuan Cao 0003\u00F7Yes\u00F71522
Biyin Wang\u00F7No\u00F71522
Xiaofang Pan\u00F7No\u00F71522
Xiaojin Zhao\u00F7No\u00F71522
Zhihuang Wen\u00F7No\u00F71522
Amine Bermak\u00F7No\u00F71522
Rong Cao\u00F7Yes\u00F71523
Yintang Yang\u00F7No\u00F71523
Huaxi Gu\u00F7No\u00F71523
Lei Huang\u00F7No\u00F71523
Wenming Cao\u00F7Yes\u00F71524
Jianhe Yuan\u00F7No\u00F71524
Zhihai He\u00F7No\u00F71524
Zhi Zhang\u00F7No\u00F71524
Zhiquan He\u00F7No\u00F71524
Xincheng Cao\u00F7Yes\u00F71525
Nianyin Zeng\u00F7No\u00F71525
Binqiang Chen\u00F7No\u00F71525
Wangpeng He\u00F7No\u00F71525
Pei Cao\u00F7Yes\u00F71526
Shengli Zhang\u00F7No\u00F71526
Jiong Tang\u00F7No\u00F71526
Xuezhi Cao\u00F7Yes\u00F71527
Weinan Zhang\u00F7No\u00F71527
Yong Yu\u00F7No\u00F71527
Weifeng Cao\u00F7Yes\u00F71528
Yulong Zou\u00F7No\u00F71528
Zhen Yang\u00F7No\u00F71528
Jia Zhu\u00F7No\u00F71528
Xiaofeng Cao\u00F7Yes\u00F71529
Yuhua Zhong\u00F7No\u00F71529
Yun Zhou 0001\u00F7No\u00F71529
Jiang Wang 0003\u00F7No\u00F71529
Cheng Zhu\u00F7No\u00F71529
Weiming Zhang\u00F7No\u00F71529
Amedeo Capozzoli\u00F7Yes\u00F71530
Laura Celentano\u00F7No\u00F71530
Claudio Curcio\u00F7No\u00F71530
Angelo Liseno\u00F7No\u00F71530
Salvatore Savarese\u00F7No\u00F71530
Estel Cardellach\u00F7Yes\u00F71531
Jens Wickert\u00F7No\u00F71531
Rens Baggen\u00F7No\u00F71531
Javier Benito\u00F7No\u00F71531
Adriano Camps\u00F7No\u00F71531
Nuno Catarino\u00F7No\u00F71531
Bertrand Chapron\u00F7No\u00F71531
Andreas Dielacher\u00F7No\u00F71531
Fran Fabra\u00F7No\u00F71531
Greg Flato\u00F7No\u00F71531
Heinrich Fragner\u00F7No\u00F71531
Carolina Gabarro\u00F7No\u00F71531
Christine Gommenginger\u00F7No\u00F71531
Christian Haas 0001\u00F7No\u00F71531
Sean Healy\u00F7No\u00F71531
Manuel Hernández-Pajares\u00F7No\u00F71531
Per Hoeg\u00F7No\u00F71531
Adrian Jaggi\u00F7No\u00F71531
Juha Kainulainen\u00F7No\u00F71531
Shfaqat Abbas Khan\u00F7No\u00F71531
Norbert M. K. Lemke\u00F7No\u00F71531
Weiqiang Li\u00F7No\u00F71531
Son V. Nghiem\u00F7No\u00F71531
Nazzareno Pierdicca\u00F7No\u00F71531
Marcos Portabella\u00F7No\u00F71531
Kimmo Rautiainen\u00F7No\u00F71531
Antonio Rius\u00F7No\u00F71531
Ingo Sasgen\u00F7No\u00F71531
Maximilian Semmling\u00F7No\u00F71531
C. K. Shum\u00F7No\u00F71531
François Soulat\u00F7No\u00F71531
Andrea K. Steiner\u00F7No\u00F71531
Sebastien Tailhades\u00F7No\u00F71531
Maik Thomas\u00F7No\u00F71531
Roger Vilaseca\u00F7No\u00F71531
Cinzia Zuffada\u00F7No\u00F71531
Jesus A. Carino\u00F7Yes\u00F71532
Miguel Delgado Prieto\u00F7No\u00F71532
José Antonio Iglesias\u00F7No\u00F71532
Araceli Sanchis\u00F7No\u00F71532
Daniel Zurita\u00F7No\u00F71532
Marta Millán\u00F7No\u00F71532
Juan Antonio Ortega Redondo\u00F7No\u00F71532
René de Jesús Romero-Troncoso\u00F7No\u00F71532
Vincenzo Carletti\u00F7Yes\u00F71533
Antonio Greco\u00F7No\u00F71533
Alessia Saggese\u00F7No\u00F71533
Mario Vento\u00F7No\u00F71533
Tiago Carneiro\u00F7Yes\u00F71534
Raul Victor Medeiros da Nobrega\u00F7No\u00F71534
Thiago Nepomuceno\u00F7No\u00F71534
Gui-Bin Bian\u00F7No\u00F71534
Victor Hugo C. de Albuquerque\u00F7No\u00F71534
Pedro Pedrosa Rebouças Filho\u00F7No\u00F71534
Jesús Carretero\u00F7Yes\u00F71535
Guillermo Izquierdo-Moreno\u00F7No\u00F71535
Mario Vasile-Cabezas\u00F7No\u00F71535
Javier García-Blas\u00F7No\u00F71535
Diego Casado-Mansilla\u00F7Yes\u00F71536
Ioannis Moschos\u00F7No\u00F71536
Oihane Kamara Esteban\u00F7No\u00F71536
Apostolos C. Tsolakis\u00F7No\u00F71536
Cruz E. Borges\u00F7No\u00F71536
Stelios Krinidis\u00F7No\u00F71536
Ane Irizar-Arrieta\u00F7No\u00F71536
Kitsikoudis Konstantinos\u00F7No\u00F71536
Ander Pijoan\u00F7No\u00F71536
Dimitrios Tzovaras\u00F7No\u00F71536
Diego López-de-Ipiña\u00F7No\u00F71536
Paolo Casari\u00F7Yes\u00F71537
Saiful Azad\u00F7No\u00F71537
Marco Zanforlin\u00F7No\u00F71537
Michele Zorzi\u00F7No\u00F71537
Jasmine Cashbaugh\u00F7Yes\u00F71538
Christopher Kitts\u00F7No\u00F71538
Alexander J. Casson\u00F7Yes\u00F71539
Eleanor V. Trimble\u00F7No\u00F71539
Jose J. Castillo-Zamora\u00F7Yes\u00F71540
Karla Anhel Camarillo-Gómez\u00F7No\u00F71540
Gerardo I. Pérez-Soto\u00F7No\u00F71540
Juvenal Rodríguez-Reséndiz\u00F7No\u00F71540
Jason Castle\u00F7Yes\u00F71541
Allen L. Garner\u00F7No\u00F71541
Reginald D. Smith\u00F7No\u00F71541
Brian M. Davis\u00F7No\u00F71541
Steve Klopman\u00F7No\u00F71541
Sean R. Dinn\u00F7No\u00F71541
Andrew S. Torres\u00F7No\u00F71541
Vasile Bogdan Neculaes\u00F7No\u00F71541
Gonzalo Farias Castro\u00F7Yes\u00F71542
Ernesto Fábregas\u00F7No\u00F71542
Sebastián Dormido-Canto\u00F7No\u00F71542
Jesús Vega\u00F7No\u00F71542
Sebastián Vergara\u00F7No\u00F71542
Sebastián Dormido 0001\u00F7No\u00F71542
Ignacio Pastor\u00F7No\u00F71542
Alvaro Olmedo\u00F7No\u00F71542
Mario Di Castro\u00F7Yes\u00F71543
Manuel Ferre\u00F7No\u00F71543
Alessandro Masi\u00F7No\u00F71543
Emanuele A. Casu\u00F7Yes\u00F71544
Andrei A. Muller\u00F7No\u00F71544
Montserrat Fernandez-Bolaños Badia\u00F7No\u00F71544
Alessandro Fumarola\u00F7No\u00F71544
Anna Krammer\u00F7No\u00F71544
Andreas Schuler\u00F7No\u00F71544
Adrian M. Ionescu\u00F7No\u00F71544
Salvatore Cavalieri\u00F7Yes\u00F71545
Marco Giuseppe Salafia\u00F7No\u00F71545
Marco Stefano Scroppo\u00F7No\u00F71545
Korhan Cengiz\u00F7Yes\u00F71546
Tamer Dag\u00F7No\u00F71546
Jonathan Cepeda-Negrete\u00F7Yes\u00F71547
Raúl Enrique Sánchez-Yáñez\u00F7No\u00F71547
Fernando E. Correa-Tome\u00F7No\u00F71547
Rocio A. Lizarraga-Morales\u00F7No\u00F71547
Shi-Cho Cha\u00F7Yes\u00F71548
Jyun-Fu Chen\u00F7No\u00F71548
Chunhua Su\u00F7No\u00F71548
Kuo-Hui Yeh\u00F7No\u00F71548
Shi-Cho Cha\u00F7Yes\u00F71549
Ming-Shiung Chuang\u00F7No\u00F71549
Kuo-Hui Yeh\u00F7No\u00F71549
Zijia Huang\u00F7No\u00F71549
Chunhua Su\u00F7No\u00F71549
Seung Hyun Cha\u00F7Yes\u00F71550
Minsu Shin\u00F7No\u00F71550
Jae-Hyun Ham\u00F7No\u00F71550
Min Young Chung\u00F7No\u00F71550
Shi-Cho Cha\u00F7Yes\u00F71551
Kuo-Hui Yeh\u00F7No\u00F71551
Anas Chaaban\u00F7Yes\u00F71552
Nan Chi\u00F7No\u00F71552
Hany Elgala\u00F7No\u00F71552
Zouheir Rezki\u00F7No\u00F71552
Majid Safari\u00F7No\u00F71552
Harilaos G. Sandalidis\u00F7No\u00F71552
Muhammad Ali Imran\u00F7No\u00F71552
Ahmad Chaddad\u00F7Yes\u00F71553
Christian Desrosiers\u00F7No\u00F71553
Tamim Niazi\u00F7No\u00F71553
Joo-Hyung Chae\u00F7Yes\u00F71554
Mino Kim\u00F7No\u00F71554
Gi-Moon Hong\u00F7No\u00F71554
Jihwan Park\u00F7No\u00F71554
Suhwan Kim\u00F7No\u00F71554
Haiting Chai\u00F7Yes\u00F71555
Jian Zhang 0020\u00F7No\u00F71555
Maumita Chakraborty\u00F7Yes\u00F71556
Sumon Chowdhury\u00F7No\u00F71556
Rajat K. Pal\u00F7No\u00F71556
Prithwi Raj Chakraborty\u00F7Yes\u00F71557
Dian Tjondronegoro\u00F7No\u00F71557
Ligang Zhang\u00F7No\u00F71557
Vinod Chandran\u00F7No\u00F71557
Frederic Challita\u00F7Yes\u00F71558
Maria-Teresa Martinez-Ingles\u00F7No\u00F71558
Martine Lienard\u00F7No\u00F71558
Jose Maria Molina Garcia Pardo\u00F7No\u00F71558
Davy P. Gaillot\u00F7No\u00F71558
T. K. Chan\u00F7Yes\u00F71559
Cheng Siong Chin\u00F7No\u00F71559
Xionghu Zhong\u00F7No\u00F71559
Leonardo Chancay-Garcia\u00F7Yes\u00F71560
Enrique Hernández-Orallo\u00F7No\u00F71560
Pietro Manzoni\u00F7No\u00F71560
Carlos Miguel Tavares Calafate\u00F7No\u00F71560
Juan-Carlos Cano\u00F7No\u00F71560
Daryus Chandra\u00F7Yes\u00F71561
Zunaira Babar\u00F7No\u00F71561
Hung Viet Nguyen\u00F7No\u00F71561
Dimitrios Alanis\u00F7No\u00F71561
Panagiotis Botsinis\u00F7No\u00F71561
Soon Xin Ng\u00F7No\u00F71561
Lajos Hanzo\u00F7No\u00F71561
Ganesh Chandrasekaran\u00F7Yes\u00F71562
Ning Wang 0001\u00F7No\u00F71562
Masoud Hassanpour\u00F7No\u00F71562
Mingwei Xu\u00F7No\u00F71562
Rahim Tafazolli\u00F7No\u00F71562
Ho-Hsuan Chang\u00F7Yes\u00F71563
Kuo-Jen Chang\u00F7No\u00F71563
Chih-Peng Li\u00F7No\u00F71563
Chen-Wei Chang\u00F7Yes\u00F71564
Jun Heo\u00F7No\u00F71564
Shih-Ching Yeh\u00F7No\u00F71564
Hui-Ya Han\u00F7No\u00F71564
Mengtong Li\u00F7No\u00F71564
Yakun Chang\u00F7Yes\u00F71565
Cheolkon Jung\u00F7No\u00F71565
Peng Ke\u00F7No\u00F71565
Hyoseob Song\u00F7No\u00F71565
Jungmee Hwang\u00F7No\u00F71565
Chih-Yung Chang\u00F7Yes\u00F71566
Yao-Wen Kuo\u00F7No\u00F71566
Pei Xu\u00F7No\u00F71566
Haibao Chen\u00F7No\u00F71566
En-Wei Chang\u00F7Yes\u00F71567
Yo-Shen Lin\u00F7No\u00F71567
Ching-Chun Chang\u00F7Yes\u00F71568
Chang-Tsun Li\u00F7No\u00F71568
Yun-Qing Shi\u00F7No\u00F71568
Shengming Chang\u00F7Yes\u00F71569
Youming Li\u00F7No\u00F71569
Hui Wang 0026\u00F7No\u00F71569
Wenfei Hu\u00F7No\u00F71569
Yongqing Wu\u00F7No\u00F71569
Qiong Chang\u00F7Yes\u00F71570
Tsutomu Maruyama\u00F7No\u00F71570
Chia-Yu Chang\u00F7Yes\u00F71571
Navid Nikaein\u00F7No\u00F71571
Wenson Chang\u00F7Yes\u00F71572
Jen-Chieh Teng\u00F7No\u00F71572
Hui-Ling Chang\u00F7Yes\u00F71573
Meng-Hsun Tsai\u00F7No\u00F71573
Jui-Hung Chang\u00F7Yes\u00F71574
Chen-En Tsai\u00F7No\u00F71574
Jung-Hsien Chiang\u00F7No\u00F71574
Hongbin Chang\u00F7Yes\u00F71575
Shuoyu Wang\u00F7No\u00F71575
Ping Sun\u00F7No\u00F71575
Wenson Chang\u00F7Yes\u00F71576
Chien-Wen Wu\u00F7No\u00F71576
Lin Yi-Xin\u00F7No\u00F71576
Lei Chang\u00F7Yes\u00F71577
Jian-Qiang Zhang\u00F7No\u00F71577
Ling-Lu Chen\u00F7No\u00F71577
Bao-Ming Li\u00F7No\u00F71577
Zheng Chang\u00F7Yes\u00F71578
Zhenyu Zhou\u00F7No\u00F71578
Sheng Zhou\u00F7No\u00F71578
Tao Chen\u00F7No\u00F71578
Tapani Ristaniemi\u00F7No\u00F71578
Jiang Chang\u00F7Yes\u00F71579
Xueying Zhang\u00F7No\u00F71579
Qiping Zhang\u00F7No\u00F71579
Ying Sun\u00F7No\u00F71579
Durbadal Chattaraj\u00F7Yes\u00F71580
Monalisa Sarma\u00F7No\u00F71580
Ashok Kumar Das\u00F7No\u00F71580
Neeraj Kumar 0001\u00F7No\u00F71580
Joel J. P. C. Rodrigues\u00F7No\u00F71580
Youngho Park 0005\u00F7No\u00F71580
Sudipta Chattopadhyay\u00F7Yes\u00F71581
Subhradeep Chakraborty\u00F7No\u00F71581
Girdhari Chaudhary\u00F7Yes\u00F71582
Yongchae Jeong\u00F7No\u00F71582
Muhammad Umar Chaudhry\u00F7Yes\u00F71583
Jee-Hyong Lee\u00F7No\u00F71583
Yanbo Che\u00F7Yes\u00F71584
Jianmei Xu\u00F7No\u00F71584
Yuexin Yang\u00F7No\u00F71584
Jinhuan Zhou\u00F7No\u00F71584
Yuancheng Zhao\u00F7No\u00F71584
Ali Chelli\u00F7Yes\u00F71585
Kimmo Kansanen\u00F7No\u00F71585
Mohamed-Slim Alouini\u00F7No\u00F71585
Ilangko Balasingham\u00F7No\u00F71585
Nai Yue Chen\u00F7Yes\u00F71586
Yun Liu 0001\u00F7No\u00F71586
Han-Chieh Chao\u00F7No\u00F71586
Jung-Chieh Chen\u00F7Yes\u00F71587
Xinkai Chen\u00F7Yes\u00F71588
Ting-Yu Chen\u00F7Yes\u00F71589
Ting-Yu Chen\u00F7Yes\u00F71590
Rong-Huei Chen\u00F7Yes\u00F71591
Shi-Chung Chang\u00F7No\u00F71591
Gen Chen\u00F7Yes\u00F71592
Xu Cai\u00F7No\u00F71592
Zhen Chen\u00F7Yes\u00F71593
Jianli Chen\u00F7No\u00F71593
Yu-Chieh Chen\u00F7Yes\u00F71594
Hsin-Chi Chang\u00F7No\u00F71594
Hsin Chen\u00F7No\u00F71594
Shyh-Wei Chen\u00F7Yes\u00F71595
Dai-Lun Chiang\u00F7No\u00F71595
Tzer-Shyong Chen\u00F7No\u00F71595
Han-Yu Lin\u00F7No\u00F71595
Yu-Fang Chung\u00F7No\u00F71595
Feipei Lai\u00F7No\u00F71595
Lien-Wu Chen\u00F7Yes\u00F71596
Tsung-Ping Chen\u00F7No\u00F71596
Da-En Chen\u00F7No\u00F71596
Jun-Xian Liu\u00F7No\u00F71596
Ming-Fong Tsai\u00F7No\u00F71596
Wei Chen\u00F7Yes\u00F71597
Yingying Cao\u00F7No\u00F71597
Shi Cheng\u00F7No\u00F71597
Yifei Sun\u00F7No\u00F71597
Qunfeng Liu\u00F7No\u00F71597
Yun Li\u00F7No\u00F71597
Ping-Kuo Chen\u00F7Yes\u00F71598
Fuh-Der Chou\u00F7No\u00F71598
Xiaozhen Dai\u00F7No\u00F71598
Yong Ye\u00F7No\u00F71598
Xiaolong Chen\u00F7Yes\u00F71599
Baoxin Chen\u00F7No\u00F71599
Jian Guan\u00F7No\u00F71599
Yong Huang\u00F7No\u00F71599
You He\u00F7No\u00F71599
Weiqi Chen\u00F7Yes\u00F71600
Han Chen\u00F7No\u00F71600
Quansheng Guan\u00F7No\u00F71600
Fei Ji\u00F7No\u00F71600
Bingyi Guo\u00F7No\u00F71600
Zhongtian Chen\u00F7Yes\u00F71601
Qiang Chen 0006\u00F7No\u00F71601
Xiongxiong He\u00F7No\u00F71601
Mingxuan Sun\u00F7No\u00F71601
Zhengyu Chen\u00F7Yes\u00F71602
Lei Chen\u00F7No\u00F71602
Guobing Hu\u00F7No\u00F71602
Wencai Ye\u00F7No\u00F71602
Jin Zhang\u00F7No\u00F71602
Geng Yang\u00F7No\u00F71602
Wen Chen\u00F7Yes\u00F71603
Cong Chen\u00F7No\u00F71603
Xueqin Jiang\u00F7No\u00F71603
Leijie Liu\u00F7No\u00F71603
Mei-Hua Chen\u00F7Yes\u00F71604
Wei-Fan Chen\u00F7No\u00F71604
Lun-Wei Ku\u00F7No\u00F71604
