author	institution name	Company|University
Yang Xiang 0001	Long, Cooper and Lang	Company
Rita Noumeir	Smith and Sons	Company
Sheng Li 0008	Bridges-Ross	Company
Mirko Reguzzoni	Hubbard Ltd	Company
Annakaisa Kultima	Green Mountain College	University
Mottaqiallah Taouil	Jenkins PLC	Company
Chatchawit Aporntewan	Evangelische Fachhochschule für Sozialpädagogik der "Diakonenanstalt des Rauhen Hauses" Hamburg	University
Anna M. Kohl	Holland, Mitchell and Hess	Company
Ying-Ren Chien	Jenkins-Hill	Company
Z. Y. Gu	Anglia Ruskin University	University
Qiang Tan	Oneal, Turner and Marshall	Company
Yangyang Liu	Academy of Economic Studies of Moldova	University
Tarek F. Abdelzaher	Tomsk State University of Control Systems and Radioelectronics	University
Donghwa Lee	St. Petersburg Institute of Arts and Restoration	University
Wimol San-Um	Williams, Hawkins and Obrien	Company
Radu Ioan Bot	Wallace, Gordon and Smith	Company
Yannick Le Moullec	Hagerstown Community College	University
Jirí Sedlácek	Afeka Tel Aviv Academic College of Engineering	University
Jinyoung An	Garcia, Leon and Thompson	Company
Taher Lotfi	Banaras Hindu University	University
Fotis Arnaoutoglou	Rostov State University	University
Xiaoqian Li	Griffin-Webb	Company
Hidehito Yoshida	National Taichung Teachers College	University
Jingwei Li	Rutgers, The State University of New Jersey	University
Celia Picard	Dublin City University	University
Maria Fazio	Beirut Arab University	University
Stefano Dellea	Concordia University, Austin	University
A. Ping Zhang	Graham-Cooper	Company
Ernesto Oliva	University of Birmingham	University
Marcos D. Katz	Nara Women's University	University
Philippe Guay	Campbell, Flores and Ellison	Company
Gustavo Anjos	Thompson, Davis and Church	Company
Nari Lee	Clark-Christian	Company
Petri Komulainen	Lamb-French	Company
Gauthier Lafruit	Warsaw School of Social Psychology	University
Chih-Yen Chen	Notre Dame of Marbel University	University
Jean-Angelo Beraldin	Kaunas University of Technology	University
Rino Falcone	Hiroshima Prefectural University	University
Sebastian Schöffel	Georgia Institute of Technology	University
Byung-Seok Kang	Bemidji State Univeristy	University
Bryan Watson	Martin-Bryant	Company
Siraj Uddin	Lane-Kim	Company
Asim Anwar	Torres-Foster	Company
Lynda Webb	Henson-Potter	Company
Heather A. Holmes	Hobe Sound Bible College	University
Kai Li	Baltimore Hebrew University	University
Ralf Hellmann	International Institute for Population Sciences	University
Oussama Zenasni	Johannes-Gutenberg Universität Mainz	University
Lakshmi Narayana Suvarapu	Mooney PLC	Company
JinSeok Oh	Barrera-Rocha	Company
Mengyi Zhang	Lehigh Univervsity	University
Bing Zhang 0002	Clark LLC	Company
Shuo Chen 0002	Zia-ud-Din Medical University	University
Rudi Penne	Grimes, Washington and Morgan	Company
Corrado Di Natale	Mitchell Ltd	Company
Baocheng Wang	Williams, Hawkins and Obrien	Company
Carlos Augusto de Moraes Cruz	Fairfield University	University
Xin-Wen Wu	Minnesota Bible College	University
Kay Soon Low	Carpenter Ltd	Company
Zhiguo Chen	Aichi Gakuin University	University
Christoph Budelmann	Wright-Gaines	Company
Yongguang Yu	Roberts, Bullock and Wood	Company
Kai Yao	Samara State Agricultural Academy	University
Pradeep Lall	Ecole Nationale Supérieure d'Ingénieurs de Génie Chimique	University
Mehdi Jonoobi	Jones, Johnson and Mcdaniel	Company
Ma Wenpeng	Mother Teresa Women's University	University
Ersi Hodo	Caldwell-Nelson	Company
Eunjung Chae	Robles-Bass	Company
George Suciu	Williams-Miller	Company
Shaaban Ali Salman	Vance PLC	Company
Fikadu T. Dagefu	Norfolk State University	University
Philippe Godignon	Technische Fachhochschule Berlin	University
Carlos Henrique Araujo De Aguiar	Warren Inc	Company
Wei Quan	Garcia Inc	Company
Andrew Strelzoff	Wade-Miller	Company
Hao Dong 0006	James Inc	Company
Wim Desmet	Thomas Aquinas College	University
Christopher G. Coogan	Dawson, Collins and Gonzales	Company
Jun Tang	Lenoir-Rhyne College	University
Maryam Pouryazdan	Royal University of Fine Arts	University
Qiangqiang Liu	Université de Perpignan	University
Chih-Jui Lin	Tabriz University of Medical Sciences	University
Chung-Wei Lin	Morgan, Chen and Smith	Company
Francesco Leporati	Cruz, Chen and Perez	Company
Pedro Jimenez	Al Yarmouk University College	University
Michiko Muramatsu	Oxford Brookes University	University
Che-Lun Hung	Quest University	University
Yi-Hua Liu	Azerbaijan International University	University
Paul Hekkert	Weber-Ferguson	Company
Liudong Xing	State University of New York College at Potsdam	University
Jiahui Wang	Instituto Tecnológico de Costa Rica	University
Hélio Leães Hey	Banks, Cooper and Smith	Company
Bo-Fu Liu	Foley Ltd	Company
Shimul Chandra Saha	Nguyen LLC	Company
Jürgen Kurths	Universidad del Turabo	University
Yi-Kang Chen	Université Catholique de Bukavu	University
Saransh Gupta	DeVry Institute of Technology, DuPage	University
Xuechao Chen	Kyushu Dental College	University
Jia Sun	Garcia PLC	Company
Guangjun Zhang	Universidad Antonio Nariño	University
Bin Liu	Swiss German University	University
Luigi de Luca	Morris Inc	Company
Gerd Schlottig	Hansen LLC	Company
Yunpeng Wang	Kushiro Public University of Economics	University
Rafal Kozik	Shahed University	University
Alessandro Cosci	Ecole d'Ingénieurs en Informatique pour l'Industrie	University
David Moure	Blair-Rivera	Company
Yujun Cheng	Hongik University	University
Yong Li	University of Maryland Medicine	University
Christian Hofmann	Technical University of Kielce	University
Alagan Anpalagan	Arizona State University	University
Panagiotis Sioulas	Dawson PLC	Company
Snezana S. Djordjevic	Universidade do Oeste de Santa Catarina	University
Qingwei Zhu	St. Petersburg State Theatre Arts Academy	University
Ziran Chen	Williams and Sons	Company
Jia Xu	Universidad de Pamplona	University
Seyedkazem Hosseini	Yang and Sons	Company
Luca Guidi	Brooks, Morris and Shepard	Company
Vemuri Sai Krishna	Morgan, Chen and Smith	Company
Yue Wu 0004	Johnson-Gallegos	Company
M. Jelali	Oklahoma State University - Tulsa	University
Maki Sawano	Gomez-Dunn	Company
Williams Antonio Pantoja Laces	Martinez, Owen and Hall	Company
Yangjiang Wei	Irkutsk State University	University
Camilla Hollanti	Li Ltd	Company
Shaoqian Li	Jissen Women's University	University
Jai-Eun Kim	Foley Ltd	Company
Shiyang Ye	Wilson, Harrell and Harvey	Company
Juan Carlos Moure	West Bengal University of Animal and Fishery Sciences	University
Sruthi P. Usha	Salazar-Salazar	Company
Heiko Zimmermann	Technical University of Cluj-Napoca	University
Hisataka Yasutomo	Tucker, Graham and White	Company
Tingjian Liu	Tokyo Medical College	University
Anthony G. Fowler	Sanchez and Sons	Company
Rini Ann Jerin Amalorpavaraj	Dalhousie University	University
Dehu Meng	Moore, Rogers and Peterson	Company
Steven Beekmans	Nishinippon Institute of Technology	University
Afef Ghabri	Universitas Khairun	University
Yolanda Jiménez	Boricua College	University
Jean-Marc Tulliani	Rockford College	University
Nils Volkening	Torres and Sons	Company
Diogo Henriques	IMPAC University	University
João L. Monteiro	Stephens Group	Company
Arnd Dörfler	Reid, Reyes and Travis	Company
Ben Scholes	Korea Maritime University	University
Md. Habibullah	Gray and Sons	Company
Rolando Burgos	Rios Ltd	Company
André Laurindo Maitelli	Wah Medical College	University
Xianbao Duan	Nnamdi Azikiwe University	University
H. Nguyen Tien	Ecole Nationale Supérieure d'Electronique, d'Electrotechnique, d'Informatique et d'Hydraulique de Toulouse	University
David Melendi	University of Wales, Newport	University
Yun Peng	Ecole Nationale des Sciences Géographiques	University
W. W. Deng	Banks, Edwards and Evans	Company
Ting Qu	Husson College	University
Steven Feiner	Southern Oregon University	University
Ubaid M. Al-Saggaf	Fine Arts Academy "Jan Matejko" in Cracow	University
Yuxin He	Arnold, Wilson and Skinner	Company
Huy H. Nguyen	Farrell-Townsend	Company
Tsutomu Maruyama	Richardson-Velasquez	Company
Yiying Zhao	Queen's University	University
Zhihao Cai	Fachhochschule Wedel	University
Chonglong Wu	Martinez, Owen and Hall	Company
Hyeongwoo Kim	Kwansei Gakuin University	University
Tao Deng	Universidad INCCA de Colombia	University
Ansar Ul-Haq	Romero PLC	Company
Pawel D. Domanski	Johnson, Nicholson and Armstrong	Company
Jiajun Li	Kramer and Sons	Company
Ishaq A. Raji	James Inc	Company
Pascal Poilvert	Garcia, Leon and Thompson	Company
Tejeddine Mouelhi	Latvian Academy of Arts	University
Naoya Ito	Kurgan International University	University
X. Liu	ICFAI University	University
Hossein Lotfi	San Jose Christian College	University
Hugo Jenks	Mendez-Caldwell	Company
Ravi Kadlimatti	Gomez Ltd	Company
Pietro Guccione	University of Maine, Fort Kent	University
Feng Wang	Kaunas University of Technology	University
Vaibhav Krishan	Haas LLC	Company
Vladimir Dobrokhotov	University of the Philippines Baguio	University
Samir Ahmed	School of the Visual Arts	University
Yang Chen 0014	Taylor LLC	Company
Zhang Rui	Gardner, Stephenson and Dalton	Company
Linwei Yu	Pitts-Duncan	Company
Yu Wang 0046	Morris, Booth and Villanueva	Company
Md. Alimoor Reza	Showa College of Pharmaceutical Sciences	University
Carlos E. Thomaz	Martinez LLC	Company
Kazuhisa Yanaka	Mccarthy, Harris and Kemp	Company
Yadong Yue	Kaiser, Ramirez and Colon	Company
Awais Adnan	Ohio University - Chillicothe	University
Alma Y. Alanis	Ewha Women's University	University
René-Vinicio Sánchez	Shanghai Institue of Foreign Trade	University
Tommi Kärkkäinen	Ray LLC	Company
Aapo Aapro	Booth, Nguyen and Jenkins	Company
James Austin Gattis	Radford University	University
Qian Yuan	Campbell, Collins and Perry	Company
Lawrence Aikins	Hall-Gutierrez	Company
Jianming Zhu	Institute of Transpersonal Psychology	University
Qingyong Hu	Asia Pacific Institute of Information Technology Pakistan (APIIT PAK)	University
Juanchun Yu	Johnson-Brown	Company
Shoujun Xu	Brown Ltd	Company
Pranju Chakrapani	Lester-Dixon	Company
Hai Van Pham	Jones, Lee and Ortiz	Company
David Held	Ecole Nationale Supérieure d'Agronomie de Montpellier	University
Angel Daniel Munoz Guzman	Jacobs, Vargas and Smith	Company
Samina Nawab	Sandoval, Cabrera and Peterson	Company
Yushun Wang	Sanchez Ltd	Company
Jian Kuang	King-Kelly	Company
Victor Soler	Corporación Universitaria Tecnológica de Bolivar	University
F. M. Mahfouz	Mooney PLC	Company
Annibale Elia	Southern Cross University	University
Toru Fukaya	Garcia PLC	Company
Xinxing Chen	North Central Bible College	University
Neil Veira	Nolan-Ramirez	Company
Navid Molavi	Lebanese International University	University
Suryadip Chakraborty	Garcia, Kelly and Bender	Company
Katsuya Kikuchi	International School of Management ISM Dortmund	University
Corbinian Englisch	Moore-Baker	Company
Oluwarotimi Williams Samuel	Fletcher, Meadows and Rodriguez	Company
Jakub Dostal	Callahan and Sons	Company
Nobutaka Ihara	Hemwati Nandan Bahuguna Garhwal University	University
Linyun Huang	Waterford Institute Of Technology	University
Shuying Jin	Jordan Group	Company
Biswajit Bhowmik	Roberson-Lopez	Company
Antti Poikola	Zhengzhou University of Technology	University
Alessandro Carcangiu	Carter, Collins and Williams	Company
Moon Gi Seok	Miami University of Ohio - Hamilton	University
Yunjie Gu	Bright-Nichols	Company
Erol Gelenbe	Kuwait Maastricht Business School	University
Muhammad Waseem Anwar	Jenkins-Hill	Company
Hossain Shahriar	University of Bari	University
Aixia Han	Watkins, Diaz and Guzman	Company
Sebastian Herbst	Allen, Powell and Murray	Company
Saptarshi Ghosh	Leyte State University 	University
Yasuhisa Hasegawa	Moscow Power Engineering Institute (Technical University)	University
Rong Duan	Zhongshan University	University
Wei Lin	Nelson-Mitchell	Company
Eudokia Passalidou	Ward, Andersen and Alexander	Company
Esko Luttinen	Nicholson Group	Company
Varun Kumar	Lynch, Hobbs and Flowers	Company
Bruno Van de Velde	Wisconsin School of Professional Psychology	University
Ziqian Yuan	Siauliai University	University
Yibo Xu	Simmons Ltd	Company
Faron Moller	Moscow International Higher Business School (MIRBIS)	University
Marcello A. Gómez Maureira	Bluffton College	University
Rongrong Lu	Ecole Supérieure de Commerce de Brest	University
Osamu Matoba	Research College of Nursing - Rockhurst University	University
Luca Baldini	Pacific Northwest College of Art	University
B. Shravan Kumar	Pfeiffer University	University
Jue Wang 0006	Castaneda, Rodriguez and Johnson	Company
Giorgia Minello	Jones-Flores	Company
Mohammad Ali Jazayeri	Darul Huda Islamic University	University
Hao Wu 0006	Munoz PLC	Company
Cheng-Kai Kuei	Smith, Johnson and Beltran	Company
Jordi Garcia Amoros	Kohinoor School of Hospitality Management	University
Andrej Kos	Ruhr-Universität Bochum	University
Rolf Johansson	Porter, Mahoney and Bradley	Company
Dandan Lei	Roberts and Sons	Company
Arash Moradinegade Dizqah	University of California, Los Angeles	University
T. Aoki	Baker, Carr and Moore	Company
Yifan Wang	Kyoto Sangyo University	University
F. Serhan Danis	Garcia, Walton and Sanders	Company
Guojun Wang	Tucker, Graham and White	Company
You Peng	Lucas PLC	Company
Shyamprasad Konduri	Anna Maria College	University
Hlamulo R. Makelane	Johnson-Jennings	Company
Djordje Tujkovic	Universitas Jember	University
Juan Zhang	Perez, Baker and Dean	Company
Xin Hong	Aga Khan University	University
Ming Jin	Irish University Business School, Cebu	University
Shangsong Wu	Evangelische Fachhochschule Rheinland-Westfalen-Lippe	University
Seyedkoosha Mirhosseini	Ufa State Petroleum Technological University	University
José Manuel Molina	Tsukuba University	University
Jan Hosek	Cameron, Lawson and Clay	Company
Charles de Lacombe	Grimes, Washington and Morgan	Company
Lei Lin	Stephens Group	Company
Gengrui Wu	Kerala University of Fisheries and Ocean Sciences	University
Stephen P. Olson	Morris, Harris and Smith	Company
Florence Sèdes	Adrian College	University
João F. C. Mota	Mays LLC	Company
Daoyi Zheng	Wayo Women's University	University
José Aguilar-Velazco	Grimes-Weeks	Company
Michel Jamot	Shimer College	University
Emmanuel Moisan	Ecole Nationale Supérieure Agronomique de Toulouse	University
Vasudha Todi	Evans-Gardner	Company
Hasan Komurcugil	Angelo State University	University
Ning An	Christensen LLC	Company
Yu Cheng 0001	Jones Inc	Company
Paulo Bala	Bowen-Smith	Company
Zongxia Jiao	Zimmerman-Decker	Company
Cheng Chen 0002	Ho Polytechnic 	University
Trong-Hop Do	Kyushu International University	University
Kaleemulah Bhatti	Mayo Medical School	University
Javier López Carrero	Texas Southern University	University
Ahmad B. Rad	Norwegian State Academy of Music	University
B. Akilesh	Farley, Gould and Davis	Company
Hanady H. Issa	Norwegian Teacher Academy for Studies in Religion and Education	University
Joonsang Baek	Shepherd and Sons	Company
Noèlia Carbó	West LLC	Company
Yaser Norouzzadeh Ravari	Pennsylvania State University at Harrisburg - The Capital College	University
Eli Tilevich	Samara State University	University
Jacob Rafati	Campbell, Mays and Ward	Company
Bo Wang 0021	University of Anbar	University
Grozdana Erjavec	Hyogo College of Medicine	University
Eric Guthmuller	Wageningen University	University
Jun-Young Lee	Benjamin, Brennan and Harris	Company
Paulo S. André	Wood Ltd	Company
Yanqiao Wei	Gandhara Institute of Medical Sciences	University
Naif D. Alotaibi	Texila American University	University
Byoungho Kim	Clark-Christian	Company
Cuiling Fan	Martin Ltd	Company
R. Vanlin Sathya	Berea College	University
Pascal Fua	Kwansei Gakuin University	University
Pierre Francq	Perez, Baker and Dean	Company
Jean-Luc Peyrot	Jenkins-Hill	Company
Qin Cai	Universität Paderborn	University
Pawel Tylek	Salazar-Johns	Company
Itziar Cabanes	Clark-Perkins	Company
Zhengge Chen	University Institute of Naval Studies	University
Luigi del Re	Watkins, Diaz and Guzman	Company
Gehan A. J. Amaratunga	Cabrera, Hernandez and Schneider	Company
Orestis Georgiou	Campbell and Sons	Company
Min Song	University of Eldoret	University
David López-Pérez	Long, Cantu and Campbell	Company
Toni Robertson	Universidade do Sagrado Coração	University
Pierre Charbonnier	Keiai University	University
Heli Väätäjä	Lyon College	University
Gerardo Morales	Bowman, Trevino and Rush	Company
Mariusz Malinowski	Universidade Estadual do Vale do Acaraú	University
Carmen Quinto	Morgan, Robinson and Chapman	Company
Stefano Silvestri	Télé-université, Université du Québec	University
Khushboo Mawatwal	Garcia, Leon and Thompson	Company
Yoan LeChasseur	Weber-Ferguson	Company
Kyle Z. Goodman	Wilcox-Williams	Company
Olav Egeland	Ayala-Sherman	Company
Pedro Fito	Texas A&M University	University
Xiaoyong Lai	Universitas Simalungun	University
K. Xu	Leiden University	University
Reza Barzegarkhoo	Arnold, Wilson and Skinner	Company
Antonella Belmonte	Free University Institute "Carlo Cattaneo"	University
